Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
ZL206920	178	0	41	0	53
ZL206924	12	0	39	0	0
ZL206939	45	0	71	34	0
ZL206956	23	0	19	23	0
ZL206962	49	40	0	0	0
ZL206990	26	38	26	0	0
ZL206993	172	0	50	0	0
ZL207022	23	0	0	0	0
ZL207039	135	0	31	39	0
ZL207045	31	0	0	17	23
ZL207048	32	0	16	15	0
ZL207056	103	0	0	35	85
ZL207061	37	0	0	52	0
ZL207066	20	0	0	0	23
ZL207079	93	47	0	0	50
ZL207103	10	0	11	0	0
ZL207105	0	0	0	23	24
ZL207125	23	0	9	24	0
ZL207165	40	32	30	0	0
ZL207195	34	81	0	0	0
ZL207197	105	0	0	53	0
ZL207206	80	0	35	28	0
ZL207219	19	8	10	0	0
ZL207264	15	0	9	0	0
ZL207278	43	17	104	0	0
ZL207281	85	0	49	110	0
ZL207288	3	0	16	20	0
ZL207295	16	6	0	11	0
ZL207350	69	0	0	26	0
ZL207353	12	0	7	9	0
ZL207357	64	0	0	22	0
ZL207365	69	0	0	22	0
ZL207366	36	23	44	0	30
ZL207393	60	55	30	0	30
ZL207402	5	0	0	0	0
ZL207405	71	0	26	0	66
ZL207445	0	0	29	84	16
ZL207452	36	0	31	26	23
ZL207455	49	46	19	0	0
ZL207484	37	0	0	48	22
ZL207492	106	0	30	0	90
ZL207513	92	27	26	0	0
ZL207523	15	0	12	10	0
ZL207525	144	0	0	53	0
ZL207527	35	10	0	30	0
ZL207551	68	45	0	0	39
ZL207587	40	0	15	0	19
ZL207640	32	27	0	0	0
ZL207656	182	0	0	72	149
ZL207657	30	0	27	17	0
ZL207667	78	0	22	40	0
ZL207675	36	0	38	0	0
ZL207686	72	0	50	45	46
ZL207714	19	16	12	12	0
ZL207732	31	0	0	42	0
ZL207783	54	0	19	44	0
ZL207806	29	0	10	30	0
ZL207826	43	0	32	0	0
ZL207852	46	0	37	0	0
ZL207866	264	0	0	56	0
ZL207878	193	64	0	62	0
ZL207879	52	114	0	30	0
ZL207887	45	0	0	34	0
ZL207888	101	0	0	32	0
ZL207891	160	0	42	0	0
ZL207904	16	13	20	0	18
ZL207916	51	0	0	54	0
ZL207917	107	28	0	0	0
ZL207920	45	15	0	26	0
ZL207958	15	0	25	29	0
ZL207961	27	0	22	0	16
ZL207966	80	65	0	96	0
ZL207975	23	0	14	31	0
ZL208000	81	0	43	0	0
ZL208008	21	343	43	0	0
ZL208010	164	87	0	0	0
ZL208013	58	0	27	30	47
ZL208016	7	0	5	8	0
ZL208039	19	0	22	0	0
ZL208043	9	0	12	7	0
ZL208069	47	45	28	0	0
ZL208079	22	0	13	0	14
ZL208105	32	0	19	22	0
ZL208108	141	0	0	0	87
ZL208122	52	0	45	0	35
ZL208124	11	27	0	0	0
ZL208125	56	0	19	0	26
ZL208131	76	0	29	0	0
ZL208137	87	0	35	0	60
ZL208146	32	0	16	15	0
ZL208150	69	0	33	0	43
ZL208180	130	0	24	36	0
ZL208202	0	0	13	28	12
ZL208213	24	0	6	31	0
ZL208214	55	0	63	0	0
ZL208215	23	0	29	0	0
ZL208231	44	0	15	15	0
ZL208250	31	0	14	16	17
ZL208275	58	100	0	0	0
ZL208283	17	0	21	37	0
ZL208289	41	0	0	33	0
ZL208320	30	90	0	0	0
ZL208379	46	20	23	0	0
ZL208386	108	24	22	44	0
ZL208387	8	0	19	0	16
ZL208401	14	0	12	18	0
ZL208439	35	0	24	0	0
ZL208444	47	0	23	18	0
ZL208449	25	0	9	20	0
ZL208452	33	0	119	0	0
ZL208465	11	0	19	12	13
ZL208480	3	0	12	15	0
ZL208501	178	0	0	70	0
ZL208523	19	36	25	15	0
ZL208526	81	41	0	0	0
ZL208528	32	93	0	40	0
ZL208535	9	0	6	4	0
ZL208564	22	0	30	0	103
ZL208566	89	0	0	40	0
ZL208592	23	19	18	0	0
ZL208611	30	13	0	33	16
ZL208626	62	0	31	24	0
ZL208634	48	0	20	33	0
ZL208658	24	0	18	0	0
ZL208685	193	159	186	0	0
ZL208701	19	0	25	0	0
ZL208705	44	0	17	17	21
ZL208723	46	0	0	51	0
ZL208735	30	43	14	0	0
ZL208740	129	0	0	0	0
ZL208773	31	0	0	23	0
ZL208801	206	0	61	0	84
ZL208818	16	0	66	0	0
ZL208837	145	0	42	0	0
ZL208845	42	59	56	0	0
ZL208850	11	0	0	46	22
ZL208856	26	0	0	0	19
ZL208921	150	0	28	46	0
ZL208964	53	0	52	0	0
ZL209052	66	120	0	0	52
ZL209059	18	15	11	0	0
ZL209069	52	0	16	0	0
ZL209078	103	54	43	0	0
ZL209088	33	0	12	39	0
ZL209090	5	0	7	9	0
ZL209137	27	13	19	45	0
ZL209139	34	0	21	0	0
ZL209162	40	0	66	0	0
ZL209192	177	0	0	60	0
ZL209237	56	0	22	0	0
ZL209265	42	0	26	22	0
ZL209270	159	0	0	57	0
ZL209281	80	0	0	0	50
ZL209283	100	0	32	0	0
ZL209318	202	0	40	0	0
ZL209319	21	11	10	20	0
ZL209342	155	0	75	0	0
ZL209356	18	0	13	15	0
ZL209364	288	70	0	0	0
ZL209372	13	0	4	0	0
ZL209387	14	0	7	0	0
ZL209390	56	16	0	0	0
ZL209397	119	0	45	0	46
ZL209398	29	17	28	75	0
ZL209483	12	12	19	14	18
ZL209518	113	90	0	0	0
ZL209519	80	0	0	31	0
ZL209543	34	0	13	0	21
ZL209566	58	0	23	0	0
ZL209579	34	30	46	0	26
ZL209581	90	51	0	35	0
ZL209590	6	0	20	16	0
ZL209640	23	0	33	0	0
ZL209645	28	0	27	0	28
ZL209672	51	37	17	0	60
ZL209700	21	0	0	13	13
ZL209753	57	0	32	33	31
ZL209773	22	0	0	33	12
ZL209937	48	137	0	0	47
ZL210018	25	14	12	0	0
ZL210024	25	50	0	44	0
ZL210047	94	0	26	0	41
ZL210086	94	0	84	0	0
ZL210088	11	0	10	22	26
ZL210124	64	0	23	68	0
ZL210126	51	51	52	0	0
ZL210128	24	29	20	73	0
ZL210133	89	154	0	57	0
ZL210141	183	0	36	0	0
ZL210168	105	0	37	33	0
ZL210182	5	0	0	20	0
ZL210192	7	0	31	0	17
ZL210193	29	0	12	0	0
ZL210198	23	0	9	0	0
ZL210222	9	0	4	4	0
ZL210245	53	0	0	18	0
ZL210261	15	12	15	33	0
ZL210323	78	0	121	0	0
ZL210353	14	0	34	0	0
ZL210362	47	25	22	0	0
ZL210390	20	10	15	0	0
ZL210396	28	10	25	0	30
ZL210399	9	7	0	11	7
ZL210424	26	0	16	0	0
ZL210445	0	0	13	0	6
ZL210460	48	0	33	0	26
ZL210522	215	135	0	0	0
ZL210798	17	0	19	28	17
ZL210842	113	0	30	0	0
ZL210860	92	0	22	48	0
ZL210905	146	0	24	0	43
ZL210961	65	150	29	0	0
ZL211081	44	0	20	23	25
ZL211372	21	0	0	16	0
ZL211383	66	25	0	24	0
ZL211402	26	0	19	33	0
ZL211456	56	0	33	0	30
ZL211498	37	0	33	0	44
ZL211549	86	0	18	0	0
ZL211583	115	0	102	0	0
ZL211599	127	49	51	0	0
ZL211606	0	148	0	47	29
ZL211643	0	88	19	0	34
ZL211653	49	14	0	22	0
ZL211683	40	44	0	0	25
ZL211693	11	0	19	0	11
ZL211703	47	0	22	0	0
ZL211704	0	0	43	73	45
ZL211707	3	0	0	7	0
ZL211709	76	0	24	28	0
ZL211710	109	0	32	38	0
ZL211720	155	29	0	0	0
ZL211733	33	0	20	0	0
ZL211761	65	64	26	0	0
ZL211768	11	5	5	17	0
ZL211817	21	0	0	21	0
ZL211826	36	34	33	0	0
ZL211827	32	0	27	0	0
ZL211828	21	14	8	0	0
ZL211891	28	10	29	0	0
ZL211921	111	0	0	49	0
ZL211953	55	0	15	0	0
ZL211974	17	14	31	33	19
ZL211976	72	0	0	21	0
ZL212037	68	0	0	0	40
ZL212061	8	0	7	11	0
ZL212063	11	0	0	27	30
ZL212068	9	0	21	0	0
ZL212097	37	0	25	0	28
ZL212098	29	9	9	0	0
ZL212237	110	0	91	0	0
ZL212250	43	0	19	29	0
ZL212278	65	13	13	0	0
ZL212293	46	23	25	0	0
ZL212299	17	0	23	14	0
ZL212357	116	0	0	36	0
ZL212392	152	0	46	0	0
ZL212423	41	74	22	25	0
ZL212425	64	27	19	36	0
ZL212433	16	0	42	0	34
ZL212462	0	0	34	0	0
ZL212505	138	0	46	0	0
ZL212534	15	0	12	18	0
ZL212590	42	248	0	63	0
ZL212614	228	0	0	0	116
ZL212645	21	0	0	0	61
ZL212991	27	0	8	0	0
ZL213246	37	0	32	0	0
ZL213328	26	9	14	19	0
ZL213518	52	129	0	0	0
ZL213785	58	0	45	0	0
ZL213801	21	0	97	30	0
ZL213836	4	0	9	0	10
ZL214548	28	18	0	20	0
ZL214774	17	0	20	24	17
ZL215712	7	0	8	7	0
ZL217568	35	0	0	39	0
ZL217739	13	0	11	24	0
ZL471600	223	0	0	0	239
ZL685304	49	144	37	0	77
ZL724573	67	74	42	0	0
ZL769907	101	26	25	0	0
ZL788093	67	0	27	50	0
ZL811557	0	61	35	0	21
ZL838091	59	127	0	0	0
ZL885253	39	19	26	0	0
ZL903239	0	507	0	0	92
ZL904678	0	0	40	28	26
ZL981061	41	0	89	0	0
ZL984521	77	69	18	0	0
ZL995439	0	0	35	25	32
ZL998638	55	0	0	0	21
