MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
4:Ins:R:1	0.00000000	0.00168867	0.00539155	0.00000000	0.00087089	0.00302755	0.04937364
4:Ins:R:2	0.00008756	0.00000854	0.00021497	0.00017474	0.00054457	0.00000038	0.00022614
4:Ins:R:3	0.00011381	0.00021381	0.00007490	0.00000001	0.00011003	0.00000001	0.00000000
4:Ins:R:4	0.00020065	0.00027980	0.00031759	0.00000000	0.00000161	0.00049069	0.00000000
4:Ins:R:5	0.00064409	0.00070777	0.00000064	0.00007456	0.00006434	0.00035580	0.00000000
5:Ins:R:0	0.00040777	0.00068907	0.00232032	0.00388804	0.00221860	0.01312017	0.05154852
5:Ins:R:1	0.00001441	0.00601072	0.03515652	0.00057907	0.00249773	0.01516699	0.00634962
5:Ins:R:2	0.00000428	0.00012968	0.00080245	0.00000000	0.00025862	0.00183782	0.00056453
5:Ins:R:3	0.00001448	0.00005727	0.00044796	0.00000000	0.00000010	0.00050022	0.00039588
5:Ins:R:4	0.00001070	0.00008897	0.00008207	0.00012688	0.00021012	0.00000000	0.00000000
5:Ins:R:5	0.00000385	0.00000128	0.00011737	0.00005156	0.00001514	0.00000000	0.00074257
2:Del:M:1	0.00227707	0.00483735	0.00448681	0.07987780	0.00168827	0.01955836	0.00619591
3:Del:M:1	0.00009638	0.00176749	0.01086376	0.00000000	0.00313824	0.00486487	0.00245093
3:Del:M:2	0.00105138	0.00264275	0.00855098	0.00213703	0.00024432	0.01941830	0.00091899
4:Del:M:1	0.00030099	0.00188652	0.00739766	0.00103043	0.00024800	0.00854487	0.00274972
4:Del:M:2	0.00042617	0.00190680	0.00758544	0.00204793	0.00003189	0.01635618	0.00133996
4:Del:M:3	0.00048120	0.00424701	0.00797139	0.00042077	0.00343000	0.01053269	0.00000000
5:Del:M:1	0.00002896	0.00105412	0.07529915	0.00376523	0.01601306	0.09188344	0.00562841
5:Del:M:2	0.00006709	0.00167867	0.03090946	0.00419425	0.00824885	0.13068940	0.00211928
5:Del:M:3	0.00025689	0.00001872	0.01035749	0.00052425	0.00743060	0.10495067	0.00467204
5:Del:M:4	0.00000151	0.00118768	0.00293893	0.00108372	0.00254959	0.05601811	0.00134552
5:Del:M:5	0.00009549	0.00117841	0.00325315	0.00026034	0.00449707	0.05516790	0.00256132
