Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
ZL1141184	98	349	291	102	0	0	0
ZL1141410	0	442	310	162	214	0	0
ZL1141532	0	261	194	105	153	0	0
ZL203817T	123	367	0	0	180	313	0
ZL203846T	0	443	290	0	225	0	0
ZL204186T	55	382	218	145	177	0	0
ZL204195T	0	10	32	24	50	41	0
ZL204255T	45	232	274	195	253	0	0
ZL204283	97	346	306	143	133	0	0
ZL204310T	94	162	222	81	0	0	0
ZL204311T	109	458	218	0	0	0	0
ZL204365	32	186	109	0	87	90	0
ZL204405T	58	250	288	0	86	0	0
ZL204460T	59	295	208	90	0	0	0
ZL204484T	45	252	193	188	90	0	0
ZL204527	50	226	319	86	114	0	0
ZL204697T	144	1727	0	309	0	0	0
ZL205085	0	166	191	94	0	69	0
ZL205563	34	253	161	66	136	153	0
ZL206293	0	493	185	0	318	226	0
ZL206427	0	113	0	0	0	215	1101
ZL206489	0	365	0	0	201	0	966
ZL206535	0	0	0	0	124	0	810
ZL206558	170	99	138	149	108	289	0
ZL206640	0	137	169	0	0	0	522
ZL206724	0	102	107	0	0	0	653
ZL206733	0	2	0	0	0	0	0
ZL206735	0	356	231	196	0	0	826
ZL206748	70	140	310	1219	0	0	0
ZL206763	0	1	0	14	0	0	0
ZL206773	0	112	0	0	99	0	1022
ZL206777	0	385	259	139	0	174	0
ZL206783	55	565	189	0	113	0	0
ZL206797	56	366	185	116	0	0	0
ZL206838	0	363	388	348	181	0	0
ZL206853	184	683	0	0	827	242	0
ZL206871	0	0	116	21	0	0	15
ZL206878	30	256	182	202	0	0	0
ZL206884	55	360	440	0	378	0	0
ZL206888	43	93	293	130	272	128	0
ZL206915	0	582	0	340	0	0	0
ZL206918	50	248	317	0	156	157	0
ZL206920	0	528	0	0	496	0	0
ZL206924	0	12	153	0	69	0	0
ZL206939	45	205	365	102	0	103	0
ZL206956	49	587	0	0	139	0	0
ZL206962	0	322	260	221	0	0	0
ZL206990	0	133	245	269	0	0	0
ZL206993	0	401	263	0	369	0	0
ZL207022	0	434	135	0	0	0	0
ZL207039	110	345	230	0	350	0	0
ZL207045	0	0	34	30	34	22	0
ZL207048	34	269	157	94	0	0	0
ZL207056	0	335	0	0	366	92	0
ZL207061	0	147	219	0	117	0	88
ZL207066	0	228	158	0	87	0	79
ZL207079	88	555	0	202	245	199	0
ZL207103	0	277	0	0	80	0	0
ZL207105	116	287	194	162	0	0	0
ZL207125	0	216	141	0	199	0	0
ZL207165	38	203	177	123	135	0	0
ZL207195	0	115	181	337	0	0	0
ZL207197	57	200	280	0	169	0	0
ZL207206	38	192	293	0	165	0	0
ZL207219	0	0	78	40	0	0	0
ZL207264	26	178	100	47	0	0	0
ZL207278	61	418	368	0	135	121	0
ZL207281	0	343	251	0	236	224	0
ZL207288	0	264	79	63	0	0	0
ZL207295	0	178	123	0	0	140	0
ZL207350	0	469	164	0	116	0	0
ZL207353	29	236	156	90	0	0	0
ZL207357	0	396	109	0	123	0	0
ZL207365	0	226	0	0	158	153	0
ZL207366	69	358	269	131	113	0	0
ZL207393	78	517	358	424	0	0	0
ZL207402	0	0	0	5	0	8	0
ZL207405	29	185	168	57	209	0	0
ZL207445	1680	593	0	0	0	868	0
ZL207452	42	249	143	82	0	314	0
ZL207455	42	199	394	263	131	0	0
ZL207484	48	302	235	70	115	0	0
ZL207492	0	230	325	0	410	0	0
ZL207513	0	434	282	0	194	0	0
ZL207523	34	295	130	0	85	0	0
ZL207525	0	203	361	148	184	0	0
ZL207527	0	476	207	0	126	0	0
ZL207551	69	356	264	214	170	0	0
ZL207587	19	140	197	82	68	58	0
ZL207640	57	204	105	126	74	0	0
ZL207656	0	209	220	145	496	0	0
ZL207657	85	188	160	72	0	95	0
ZL207667	0	281	313	0	143	0	0
ZL207675	0	326	123	0	158	0	0
ZL207686	74	611	496	0	256	0	0
ZL207714	0	29	56	73	31	57	0
ZL207732	28	209	229	114	0	127	0
ZL207783	0	263	175	84	188	0	0
ZL207806	91	404	0	115	0	137	0
ZL207826	41	244	202	0	136	315	0
ZL207852	0	7	62	58	0	28	0
ZL207866	0	237	162	77	310	113	0
ZL207878	47	186	229	256	271	0	0
ZL207879	0	49	200	535	0	0	0
ZL207887	0	183	193	64	79	0	0
ZL207888	276	293	151	0	140	142	0
ZL207891	75	282	202	0	341	0	0
ZL207904	49	189	80	48	82	141	0
ZL207916	93	335	202	0	217	0	0
ZL207917	99	183	145	70	92	170	0
ZL207920	105	446	232	95	150	0	0
ZL207931	0	0	0	0	0	1	0
ZL207958	115	426	0	0	177	178	0
ZL207961	34	139	280	101	85	0	0
ZL207966	0	188	248	382	271	0	0
ZL207975	0	282	256	127	0	0	0
ZL208000	50	249	170	65	124	173	0
ZL208008	0	599	0	1699	0	0	0
ZL208010	0	236	169	319	214	0	0
ZL208013	0	773	0	0	430	0	0
ZL208016	0	248	219	0	0	0	0
ZL208039	0	496	0	0	0	191	0
ZL208043	0	0	65	36	26	0	0
ZL208069	44	231	0	192	157	144	0
ZL208079	191	386	227	0	0	0	0
ZL208105	133	547	236	172	0	0	0
ZL208108	0	125	266	110	319	0	0
