MutationType	ZL-201155	ZL-201204T	ZL-201948	ZL-201999	ZL-202025	ZL-202046	ZL-202056	ZL-202079	ZL009041	ZL026642	ZL033326	ZL040761	ZL054594	ZL093073	ZL094531	ZL094587	ZL098594	ZL098834	ZL099873	ZL117411	ZL119464	ZL122906	ZL130896	ZL135285	ZL143005	ZL144459	ZL145150	ZL154137T	ZL160571	ZL160658	ZL163085	ZL163503	ZL165633	ZL166217	ZL169282	ZL170022	ZL171919	ZL173347	ZL173419	ZL173520	ZL176154	ZL183080	ZL183247	ZL185536	ZL187056T	ZL187784	ZL193447	ZL200007	ZL200095	ZL200191	ZL200205	ZL200206	ZL200236	ZL200258	ZL200312	ZL200387	ZL200509	ZL200531	ZL200638	ZL200746T	ZL200881T	ZL200942T	ZL200989T	ZL200995T	ZL201029T	ZL201057T	ZL201059T	ZL201074T	ZL201109T	ZL201144T	ZL201217T	ZL201238T	ZL201286T	ZL201292T	ZL201309T	ZL201325T	ZL201360T	ZL201378T	ZL201381T	ZL201403T	ZL201425T	ZL201450T	ZL201482T	ZL201509T	ZL201537T	ZL201557T	ZL201573T	ZL201645K	ZL201703T	ZL201949T	ZL202004T	ZL202165T	ZL202470	ZL202543T	ZL202690T	ZL202883	ZL203330	ZL203405T	ZL203684T	ZL203719T	ZL1056056	ZL1095842	ZL1132727	ZL1134324	ZL1135196	ZL1135526	ZL1135687	ZL1135777	ZL1135893	ZL1135916	ZL1136162	ZL1136289	ZL1136315	ZL1136555	ZL1136727	ZL1136761	ZL1137133	ZL1137172	ZL1137270	ZL1137379	ZL1137449	ZL1137632	ZL1137732	ZL1137748	ZL1137810	ZL1137816	ZL1138220	ZL1138247	ZL1138279	ZL1138297	ZL1138367	ZL1138649	ZL1138854	ZL1138867	ZL1139109	ZL1139195	ZL1139220	ZL1139421	ZL1139424	ZL1139564	ZL1139784	ZL1139936	ZL1139961	ZL1139972	ZL1140305	ZL1140523	ZL1140557	ZL1140665	ZL1141052	ZL1141078	ZL1141129	ZL1141141	ZL1141184	ZL1141410	ZL1141532	ZL203817T	ZL203846T	ZL204186T	ZL204195T	ZL204255T	ZL204283	ZL204310T	ZL204311T	ZL204365	ZL204405T	ZL204460T	ZL204484T	ZL204527	ZL204697T	ZL205085	ZL205563	ZL206293	ZL206427	ZL206489	ZL206535	ZL206558	ZL206640	ZL206724	ZL206733	ZL206735	ZL206748	ZL206763	ZL206773	ZL206777	ZL206783	ZL206797	ZL206838	ZL206853	ZL206871	ZL206878	ZL206884	ZL206888	ZL206915	ZL206918	ZL206920	ZL206924	ZL206939	ZL206956	ZL206962	ZL206990	ZL206993	ZL207022	ZL207039	ZL207045	ZL207048	ZL207056	ZL207061	ZL207066	ZL207079	ZL207103	ZL207105	ZL207125	ZL207165	ZL207195	ZL207197	ZL207206	ZL207219	ZL207264	ZL207278	ZL207281	ZL207288	ZL207295	ZL207350	ZL207353	ZL207357	ZL207365	ZL207366	ZL207393	ZL207402	ZL207405	ZL207445	ZL207452	ZL207455	ZL207484	ZL207492	ZL207513	ZL207523	ZL207525	ZL207527	ZL207551	ZL207587	ZL207640	ZL207656	ZL207657	ZL207667	ZL207675	ZL207686	ZL207714	ZL207732	ZL207783	ZL207806	ZL207826	ZL207852	ZL207866	ZL207878	ZL207879	ZL207887	ZL207888	ZL207891	ZL207904	ZL207916	ZL207917	ZL207920	ZL207931	ZL207958	ZL207961	ZL207966	ZL207975	ZL208000	ZL208008	ZL208010	ZL208013	ZL208016	ZL208039	ZL208043	ZL208069	ZL208079	ZL208105	ZL208108	ZL208122	ZL208124	ZL208125	ZL208131	ZL208137	ZL208146	ZL208150	ZL208180	ZL208202	ZL208213	ZL208214	ZL208215	ZL208231	ZL208250	ZL208275	ZL208283	ZL208289	ZL208320	ZL208379	ZL208386	ZL208387	ZL208401	ZL208439	ZL208444	ZL208449	ZL208452	ZL208465	ZL208480	ZL208501	ZL208523	ZL208526	ZL208528	ZL208535	ZL208564	ZL208566	ZL208592	ZL208611	ZL208626	ZL208634	ZL208658	ZL208685	ZL208701	ZL208705	ZL208723	ZL208735	ZL208740	ZL208773	ZL208788	ZL208801	ZL208818	ZL208837	ZL208845	ZL208850	ZL208856	ZL208921	ZL208964	ZL209052	ZL209059	ZL209069	ZL209078	ZL209088	ZL209090	ZL209137	ZL209139	ZL209162	ZL209192	ZL209237	ZL209265	ZL209270	ZL209281	ZL209283	ZL209318	ZL209319	ZL209342	ZL209356	ZL209364	ZL209372	ZL209387	ZL209390	ZL209397	ZL209398	ZL209404	ZL209456	ZL209483	ZL209518	ZL209519	ZL209543	ZL209566	ZL209579	ZL209581	ZL209590	ZL209640	ZL209645	ZL209672	ZL209700	ZL209753	ZL209773	ZL209937	ZL210018	ZL210024	ZL210047	ZL210086	ZL210088	ZL210124	ZL210126	ZL210128	ZL210133	ZL210141	ZL210168	ZL210182	ZL210192	ZL210193	ZL210198	ZL210222	ZL210245	ZL210261	ZL210323	ZL210353	ZL210362	ZL210390	ZL210396	ZL210399	ZL210424	ZL210445	ZL210460	ZL210522	ZL210798	ZL210842	ZL210860	ZL210905	ZL210917	ZL210961	ZL211081	ZL211093	ZL211372	ZL211383	ZL211402	ZL211456	ZL211498	ZL211549	ZL211583	ZL211599	ZL211606	ZL211643	ZL211653	ZL211683	ZL211693	ZL211703	ZL211704	ZL211707	ZL211709	ZL211710	ZL211720	ZL211733	ZL211761	ZL211768	ZL211789	ZL211817	ZL211826	ZL211827	ZL211828	ZL211891	ZL211921	ZL211953	ZL211974	ZL211976	ZL212037	ZL212061	ZL212063	ZL212068	ZL212097	ZL212098	ZL212237	ZL212250	ZL212278	ZL212293	ZL212299	ZL212357	ZL212392	ZL212423	ZL212425	ZL212433	ZL212462	ZL212505	ZL212534	ZL212590	ZL212614	ZL212645	ZL212991	ZL213246	ZL213328	ZL213518	ZL213692	ZL213785	ZL213801	ZL213836	ZL214548	ZL214774	ZL215712	ZL217568	ZL217739	ZL471600	ZL685304	ZL724573	ZL769907	ZL788093	ZL811557	ZL838091	ZL885253	ZL903239	ZL904678	ZL981061	ZL984521	ZL995439	ZL998638
1:Del:T:4	0	11	21	10	14	21	22	12	20	11	20	0	19	17	8	23	1260	19	14	20	15	16	18	9	40	10	21	6	12	4	12	25	7	27	19	8	33	0	27	11	3	29	0	30	0	26	10	19	16	14	21	9	13	10	9	16	12	8	9	0	12	12	7	15	25	8	6	14	8	4	1	11	12	7	21	4	4	1	17	11	14	4	12	9	4	12	8	20	12	18	15	11	7	19	32	10	13	11	17	13	15	18	14	9	9	15	17	32	13	13	11	13	0	12	37	28	11	0	26	0	20	15	20	16	8	21	20	10	14	10	9	12	12	11	16	24	1	14	3	11	22	6	11	26	16	17	8	16	4	20	16	31	21	18	16	14	9	21	3	26	24	11	7	10	14	14	22	14	22	17	19	24	8	17	5	18	9	9	0	10	21	0	7	22	10	10	24	52	2	7	23	26	7	16	15	2	17	9	14	9	26	6	27	0	15	12	9	8	25	3	12	10	17	11	10	18	0	7	23	21	5	12	5	6	7	8	19	30	0	11	53	16	13	22	20	19	15	28	14	29	11	10	18	25	12	14	34	1	20	12	15	13	1	18	24	3	8	22	18	14	11	14	21	0	23	19	23	12	19	18	14	12	4	6	3	11	12	18	20	12	8	8	24	13	10	15	31	15	4	11	17	4	15	18	8	7	17	18	16	7	8	18	15	11	25	17	3	24	20	14	12	0	10	18	14	13	12	11	4	18	18	19	15	13	5	15	0	23	8	14	18	8	5	3	22	13	5	17	25	30	5	13	14	30	17	9	13	16	9	16	19	11	21	21	15	0	0	6	19	35	0	0	17	20	10	10	13	31	10	23	8	13	14	11	12	12	632	10	24	6	22	10	28	17	24	8	13	20	2	10	11	1	7	8	11	22	15	21	15	18	6	3	2	23	11	12	20	20	3	0	10	17	0	4	19	9	17	28	10	20	20	15	7	12	13	15	8	22	0	15	21	21	7	11	4	0	12	22	14	9	15	24	11	21	17	12	1	9	6	18	12	19	14	14	15	12	11	15	15	25	487	13	27	10	15	21	14	9	12	14	17	1	15	15	10	13	17	13	13	10	8	29	16	11	28	14	27	20	21	46	16	15	17	15
1:Del:T:5	0	36	44	26	15	48	94	22	26	25	25	0	30	33	24	43	32433	10	31	54	37	39	40	26	109	17	34	22	34	20	31	28	17	336	37	7	59	6	27	43	9	69	0	31	0	25	34	30	20	18	25	28	35	65	34	20	17	24	17	4	56	26	42	13	17	26	29	23	20	18	13	42	8	24	25	22	3	1	31	21	44	13	13	35	10	14	18	39	23	35	26	38	25	32	105	22	36	39	46	27	29	25	23	30	25	33	45	250	22	41	13	16	0	39	53	65	14	0	106	0	34	15	75	37	13	59	50	31	24	22	15	23	27	22	28	34	3	19	4	81	24	30	38	39	38	24	12	28	24	26	24	62	62	35	16	83	32	45	2	39	67	59	71	26	41	41	34	35	118	9	30	38	17	33	1	101	12	6	0	32	44	0	20	24	49	40	26	142	3	24	46	34	17	39	26	4	31	44	27	8	36	22	78	0	25	25	15	14	69	10	75	20	29	7	41	30	0	19	49	34	17	13	30	22	25	21	52	58	0	25	946	31	33	37	31	34	28	16	23	54	17	40	18	54	23	24	63	1	22	25	60	33	0	20	36	7	8	173	55	35	65	61	77	0	77	25	22	21	38	38	24	52	15	20	0	33	113	90	18	47	6	29	33	23	25	34	68	43	14	32	48	15	30	52	26	12	35	14	24	39	37	82	32	13	45	21	1	65	20	36	29	0	33	67	34	45	18	30	25	49	49	20	18	24	7	97	0	50	20	25	82	43	12	9	35	33	41	137	34	222	13	44	47	38	44	59	18	29	28	25	53	56	37	30	42	0	0	28	21	123	0	0	95	38	74	47	15	28	19	62	26	60	16	19	30	29	12892	25	95	17	83	13	36	46	96	33	42	33	20	25	38	4	17	17	21	50	31	30	20	112	22	2	2	38	32	12	48	54	3	0	31	47	0	15	36	21	33	46	9	28	23	133	42	37	27	19	24	30	0	46	48	34	22	34	27	0	22	55	16	19	24	19	27	50	20	23	3	28	14	46	17	39	65	12	32	42	32	7	29	35	15812	21	58	30	28	27	30	17	20	29	23	0	25	15	19	22	35	14	35	15	27	43	32	35	45	25	39	59	49	103	31	27	37	36
1:Ins:C:0	0	5	5	5	1	6	5	4	12	8	9	0	14	12	3	9	195	3	8	6	7	5	7	4	18	6	5	3	12	5	14	9	2	17	7	1	9	2	10	6	4	11	0	8	2	4	9	11	8	5	8	3	5	6	5	8	8	3	3	2	2	4	7	7	9	0	6	8	5	6	3	7	3	4	7	2	5	2	13	7	6	2	3	6	8	10	6	11	7	10	7	12	4	5	9	6	3	4	9	3	6	8	6	12	8	5	18	5	3	2	4	8	0	4	33	14	6	0	14	0	4	9	9	11	2	6	13	7	8	10	1	4	1	3	6	9	1	7	3	6	8	2	19	8	4	7	4	6	1	5	9	15	8	17	9	9	19	9	1	5	4	2	3	4	9	3	7	11	20	8	10	12	28	21	8	7	12	9	0	13	10	0	15	13	6	6	6	27	0	3	16	7	10	7	5	3	10	7	4	4	7	6	8	0	8	4	6	4	14	1	13	10	10	6	11	8	1	2	10	18	4	1	8	3	4	3	12	10	0	10	91	6	7	13	7	11	0	10	4	8	6	5	11	6	8	5	16	5	3	6	8	5	1	11	5	9	2	11	11	9	7	5	4	0	5	4	5	7	8	11	14	16	5	8	0	6	12	5	6	13	3	5	10	8	5	6	7	9	5	9	9	4	3	4	5	6	9	4	8	5	5	3	4	5	5	7	3	10	9	5	6	3	3	6	5	11	4	3	2	19	1	5	5	1	2	9	0	14	3	4	17	12	4	10	8	9	4	8	23	17	4	10	4	2	11	10	10	10	8	10	9	10	8	5	8	0	0	7	8	7	0	1	9	11	5	2	7	6	9	6	5	11	6	2	8	8	73	3	4	9	17	5	12	5	18	11	6	4	3	5	1	2	5	9	1	14	7	6	6	6	7	1	0	9	11	5	15	11	4	0	6	4	0	1	6	5	8	8	4	5	13	4	3	4	7	10	5	13	0	11	6	13	4	13	9	0	4	17	4	4	7	5	5	32	6	3	2	7	0	11	4	5	7	1	4	5	8	6	12	9	55	6	10	5	9	5	5	1	4	7	9	1	9	11	4	7	78	3	6	5	5	9	7	7	23	7	5	3	8	7	7	4	6	7
1:Ins:C:1	0	4	3	7	1	2	3	2	7	2	7	0	5	3	1	10	41	7	3	5	0	2	4	2	6	3	4	2	1	0	4	3	1	4	6	0	3	0	4	2	1	4	0	3	0	2	3	2	0	4	2	2	1	2	1	4	2	3	1	4	0	2	3	2	2	1	5	4	1	1	1	1	2	1	3	1	2	0	1	3	3	1	6	2	0	3	2	2	4	4	5	0	3	2	2	3	3	2	1	3	2	2	2	2	4	2	4	1	1	4	4	3	0	0	3	7	4	0	2	0	6	3	4	5	3	4	5	1	2	0	2	2	1	3	6	3	1	5	2	2	11	1	6	4	2	5	1	2	5	5	1	8	2	0	0	4	2	1	0	3	4	1	3	3	6	2	2	5	6	1	3	3	3	6	3	5	1	2	0	2	3	0	6	8	2	3	3	7	2	2	4	2	2	3	1	1	1	0	1	1	2	1	7	1	2	3	2	2	8	5	2	2	2	3	2	0	1	1	4	1	2	3	0	2	4	3	6	7	0	6	8	1	5	1	7	2	0	6	4	5	4	2	3	2	4	1	5	1	2	3	4	3	1	8	5	2	1	2	6	3	4	2	3	0	2	1	2	3	1	4	3	5	2	1	1	6	3	1	3	4	1	2	5	2	5	4	2	1	2	2	6	2	4	1	7	0	4	3	6	1	2	3	3	2	2	4	0	5	4	7	1	0	5	5	0	3	4	3	1	8	5	0	2	1	1	1	0	3	1	3	5	3	2	2	3	3	2	3	3	6	1	1	1	1	6	1	1	1	2	6	3	0	8	2	3	0	0	4	3	4	0	0	1	4	2	0	2	6	3	3	2	2	1	2	6	3	18	1	3	2	5	2	7	1	4	1	4	1	1	3	1	1	2	0	2	2	2	4	2	3	3	2	2	7	4	1	7	5	1	1	1	5	0	2	4	3	4	1	2	5	5	5	2	2	4	1	2	1	0	6	5	5	2	6	3	0	2	6	0	2	2	4	4	3	3	3	1	1	1	3	2	2	3	3	4	1	3	4	3	0	12	3	2	2	7	4	2	1	4	1	5	0	3	1	2	4	3	1	1	2	3	2	1	1	6	3	4	6	2	6	7	4	2	4
1:Ins:C:2	0	0	5	0	2	4	0	0	5	1	0	0	2	1	1	2	47	4	2	6	3	0	3	2	4	1	3	1	3	1	2	1	0	0	0	0	1	0	4	3	0	2	0	5	0	2	0	0	2	1	2	1	1	0	2	3	2	0	2	1	1	1	2	0	2	1	1	3	1	2	0	4	2	2	4	1	2	0	2	3	1	0	0	1	0	3	1	0	1	1	2	1	0	4	1	3	1	0	5	1	5	1	3	1	1	1	1	1	1	0	2	1	0	1	2	4	0	0	7	0	1	2	7	6	2	1	4	0	0	1	1	2	2	2	0	3	3	2	0	4	1	2	2	2	1	2	3	4	4	2	1	3	3	2	3	2	2	2	1	3	0	0	2	0	2	1	4	2	2	0	3	6	5	3	2	1	1	4	0	5	1	0	2	2	0	2	6	8	0	1	4	2	1	4	2	1	3	2	2	2	1	1	0	2	2	3	1	0	3	1	0	1	4	4	2	2	1	3	4	5	0	1	2	2	0	2	1	1	0	2	5	0	4	0	2	1	4	4	0	0	0	0	5	0	2	1	2	2	1	5	3	0	0	6	2	4	1	1	4	1	0	1	1	0	0	0	2	3	1	4	2	0	1	3	0	3	4	1	2	2	1	3	5	1	0	1	2	2	1	3	0	3	2	0	1	0	0	2	5	1	3	2	2	0	1	0	1	3	2	0	0	0	4	2	1	3	3	0	1	5	3	3	5	1	1	2	0	3	1	0	3	0	1	2	3	0	0	1	3	7	0	1	2	2	2	2	1	0	2	3	2	0	5	1	4	0	2	0	1	2	0	0	1	1	1	0	5	4	1	1	2	2	1	1	2	0	13	3	1	2	6	2	5	1	4	1	3	1	2	0	1	0	1	1	1	1	1	2	4	0	0	2	0	2	3	1	3	2	1	0	1	2	0	0	1	0	2	1	1	1	1	0	0	3	0	0	0	5	0	2	2	1	1	1	0	0	0	3	5	0	1	3	3	0	1	0	0	3	0	2	1	0	3	3	3	3	1	4	1	8	10	3	5	0	3	2	3	0	1	2	1	0	1	3	3	0	1	0	1	0	1	3	2	2	2	1	0	2	3	2	4	1	1	3
1:Ins:C:3	0	1	1	0	2	1	1	3	3	2	2	0	1	2	0	2	104	0	4	1	1	0	0	3	4	1	4	1	0	0	2	1	0	1	4	1	7	0	2	1	0	0	0	3	0	0	4	0	1	3	2	1	2	1	2	0	2	3	0	0	0	2	2	3	3	1	0	0	3	1	0	1	0	1	2	0	1	0	1	0	2	1	0	0	1	0	1	2	1	1	1	1	3	0	0	0	0	0	0	0	0	1	2	1	0	3	3	0	0	0	1	2	0	0	6	1	0	0	2	0	0	2	2	4	0	3	8	1	2	0	3	1	0	1	0	3	0	3	1	1	5	0	4	2	0	0	2	1	2	2	1	2	2	3	2	1	4	2	0	2	2	2	0	2	1	0	2	2	4	2	3	1	2	1	0	1	3	0	0	1	2	0	1	6	1	2	2	5	0	1	0	1	1	0	2	0	0	1	0	0	4	0	1	0	0	0	2	0	3	0	0	0	0	0	2	0	0	2	2	1	0	0	1	1	2	1	1	1	0	0	3	1	1	2	3	3	0	1	2	2	1	1	3	2	2	0	3	0	0	1	0	0	1	1	2	1	0	1	2	2	1	3	1	0	1	1	3	0	0	1	5	2	0	0	0	0	2	2	1	2	0	0	3	1	1	0	4	0	0	2	2	1	2	3	0	1	2	1	3	1	1	0	2	0	3	1	0	1	1	0	0	0	4	1	3	2	1	1	0	1	4	1	0	0	1	2	0	3	1	1	3	2	1	1	2	2	0	2	1	4	0	1	0	1	2	1	1	2	0	0	0	2	3	1	0	0	0	1	3	3	0	0	0	1	1	1	1	0	3	0	1	1	0	1	3	1	29	0	0	2	1	1	0	0	3	2	3	2	0	4	0	0	2	3	1	3	4	0	3	4	0	0	0	3	2	2	2	1	0	0	3	2	0	1	2	0	3	2	1	1	2	1	1	3	0	1	1	4	0	1	3	2	0	1	2	1	2	4	1	0	1	1	0	2	2	2	0	2	0	1	1	1	4	0	0	2	0	0	0	3	22	0	0	1	1	3	2	1	1	1	0	0	2	0	1	1	2	0	4	0	2	1	2	0	1	0	0	2	3	4	2	2	0	0
1:Ins:C:4	0	2	1	1	0	0	2	0	2	0	1	0	2	0	0	1	208	3	0	1	1	0	1	1	4	0	5	0	2	2	1	1	0	0	1	1	4	0	0	3	0	1	0	3	0	0	0	3	0	2	0	3	1	2	0	0	1	2	0	0	2	1	2	2	0	0	0	1	0	2	1	3	1	0	0	0	1	0	1	0	2	0	1	1	0	0	0	2	0	2	1	2	0	0	1	2	1	1	2	1	0	1	0	3	0	0	2	3	0	0	1	0	0	1	4	4	2	0	3	0	3	2	7	4	0	0	0	1	3	0	2	0	1	0	4	2	0	0	0	1	2	2	4	1	0	2	0	2	1	1	1	5	2	3	2	1	1	0	0	0	0	0	0	0	2	0	0	2	4	1	0	0	0	3	0	2	2	0	0	0	0	0	2	1	1	0	2	4	0	0	1	1	5	1	4	0	1	2	0	2	4	0	3	0	1	2	0	0	1	2	1	1	0	0	0	1	0	0	0	2	1	1	1	0	0	0	2	2	0	3	7	1	1	5	3	1	0	1	1	1	0	0	2	1	1	1	3	0	1	0	2	3	0	1	1	0	1	4	0	2	0	3	0	0	0	1	3	1	1	1	5	1	1	0	0	3	1	3	3	1	0	1	4	2	2	1	5	0	0	1	3	1	1	3	2	0	4	0	0	1	1	1	2	0	3	1	0	1	1	2	1	0	4	4	1	4	0	0	1	2	1	1	0	0	0	2	0	2	0	2	1	1	2	0	1	2	0	4	1	3	0	0	2	0	2	6	1	4	0	0	2	1	3	0	2	0	0	1	3	0	0	0	1	1	0	2	0	0	0	3	0	1	1	2	0	3	85	1	2	3	6	1	2	0	4	3	0	4	0	3	1	1	1	2	0	2	2	0	1	3	0	0	0	2	2	0	5	2	0	0	0	2	0	1	3	5	0	6	1	3	1	0	3	2	0	3	1	2	0	2	1	1	0	0	0	0	0	2	3	0	0	1	1	1	3	0	0	1	1	2	1	4	1	0	0	1	1	2	2	1	81	1	0	1	2	2	0	0	2	0	2	0	3	5	0	2	0	3	2	2	2	3	0	0	0	1	1	0	2	0	2	3	1	2
1:Ins:C:5	0	1	11	8	5	6	7	2	8	3	8	0	6	9	2	10	691	4	8	17	9	12	6	4	13	12	16	5	5	23	10	4	9	27	12	0	19	2	4	24	3	12	0	4	1	10	10	5	7	6	6	6	14	10	6	11	30	7	5	0	5	4	4	8	7	2	9	3	0	3	5	6	3	5	5	3	1	0	8	6	4	2	0	8	3	3	4	12	2	4	7	10	4	10	2	6	8	8	7	19	11	5	9	6	10	5	11	10	5	5	3	2	1	8	11	15	3	0	8	0	12	10	6	3	2	16	11	6	5	9	6	2	2	7	6	8	0	10	3	2	10	9	22	4	9	4	5	4	7	10	13	14	9	14	3	14	7	15	0	6	10	0	7	8	5	2	12	7	29	5	8	18	10	8	0	6	4	4	0	5	4	0	8	14	16	6	7	19	0	8	3	5	18	8	12	2	8	11	4	6	8	11	14	0	8	10	4	7	22	7	14	2	8	5	4	6	0	7	12	12	2	2	12	7	14	5	9	22	0	12	25	5	3	12	8	17	7	4	9	9	4	4	4	9	8	4	7	1	7	6	4	10	1	7	9	2	2	16	12	8	13	9	11	0	13	8	8	6	7	17	4	20	14	15	0	3	14	14	5	15	0	15	8	6	9	7	13	11	3	9	5	7	5	10	7	4	6	2	3	5	9	13	8	8	15	10	0	22	5	12	10	0	11	16	9	3	6	2	7	13	3	5	5	6	2	15	0	12	4	6	12	7	7	1	5	7	5	10	8	5	7	13	10	13	5	17	10	4	16	4	8	5	8	9	15	0	0	3	5	7	0	0	16	8	12	4	5	6	13	7	5	7	6	2	5	2	409	4	12	6	12	3	8	9	15	11	15	8	5	9	9	1	3	10	11	12	12	9	9	10	5	2	0	15	5	6	21	11	2	0	4	16	0	8	7	6	9	17	4	5	9	7	6	11	7	3	2	11	0	10	2	6	0	8	8	0	2	13	8	5	8	6	3	9	6	6	1	13	4	12	3	9	20	2	10	2	8	9	13	14	303	7	4	9	6	8	9	5	15	4	6	1	10	5	14	4	4	7	10	4	6	18	2	4	12	8	7	12	12	14	7	4	7	12
1:Ins:T:0	1	7	31	3	8	11	5	6	24	17	9	1	25	20	10	54	142	4	11	18	9	3	25	23	55	4	15	9	39	8	12	35	2	9	30	5	71	2	10	22	2	15	0	10	2	10	8	3	4	14	7	7	4	10	8	16	5	11	6	3	6	27	14	11	6	6	14	16	5	4	2	12	7	4	16	3	5	6	17	9	10	10	5	7	5	8	3	17	4	9	9	9	6	9	7	6	7	2	5	11	13	10	14	6	22	9	15	14	3	4	5	15	0	5	60	25	19	0	24	0	17	10	66	122	3	13	14	8	15	11	3	2	3	13	8	13	2	11	3	24	13	3	20	11	4	20	5	14	6	6	7	16	10	31	15	14	19	18	11	19	18	8	3	9	7	2	9	15	25	5	12	24	7	17	19	11	15	6	0	17	20	0	19	10	11	7	27	132	4	4	20	12	10	14	54	6	11	14	5	7	35	6	39	9	6	45	9	8	37	2	6	17	10	9	8	9	1	5	15	18	9	1	6	7	11	12	14	16	0	21	41	10	13	4	58	13	7	32	6	17	9	6	67	4	11	7	16	8	9	8	11	9	1	31	14	10	11	6	21	5	15	16	23	0	2	4	45	6	8	27	11	12	2	8	5	6	7	13	64	11	4	7	16	36	5	26	9	9	10	15	9	4	9	13	3	8	10	9	21	7	6	5	9	6	13	8	3	23	7	16	11	6	12	2	8	9	8	5	2	33	8	5	11	9	5	12	0	22	4	7	17	5	5	9	15	29	1	10	17	9	7	8	8	11	13	14	3	6	49	9	17	7	17	5	17	1	1	3	40	11	0	0	7	9	16	15	5	12	19	8	5	9	32	5	44	2	96	5	10	26	19	7	19	8	10	28	15	6	2	13	3	3	4	5	7	14	7	11	10	9	4	4	1	13	27	4	9	13	9	0	16	9	0	1	19	8	12	13	10	9	9	12	11	19	6	5	4	1	0	11	12	10	10	10	8	0	9	20	6	5	14	13	10	17	4	22	2	12	4	5	4	16	6	4	7	3	7	16	14	27	64	6	45	10	19	52	5	5	3	10	17	0	8	17	5	9	8	5	25	7	16	32	12	4	15	11	12	12	31	15	6	14	11	8
1:Ins:T:1	1	14	11	10	5	13	9	14	13	12	33	0	19	10	17	13	125	16	9	12	15	12	13	14	21	22	16	6	17	12	16	20	3	13	28	5	21	5	38	22	7	9	0	41	5	13	7	12	21	12	18	5	10	8	5	12	8	7	8	5	9	31	11	14	10	7	32	7	14	13	6	4	12	10	24	4	7	6	25	24	12	15	10	9	5	13	7	36	18	19	20	21	7	29	14	9	13	9	13	12	7	15	15	9	19	10	13	10	10	9	13	37	0	14	36	17	14	0	26	0	19	4	22	28	4	19	17	10	5	9	10	13	14	16	31	10	5	10	6	26	20	6	22	25	3	25	6	16	58	17	11	13	13	24	10	20	11	12	6	11	16	11	12	8	27	10	11	31	16	15	11	19	14	15	7	13	10	5	0	18	23	0	7	12	5	12	30	26	8	15	30	27	6	25	32	17	33	9	18	8	31	8	16	4	9	17	17	10	14	6	10	8	9	10	13	38	10	4	37	18	9	9	7	7	5	1	22	11	0	12	17	7	16	15	33	15	6	23	19	10	16	10	27	10	35	5	34	7	12	8	11	15	4	12	28	16	8	17	14	11	12	13	20	0	13	17	10	7	10	18	12	17	6	7	2	7	15	9	24	14	9	13	28	21	14	10	16	4	6	37	20	9	8	8	14	4	26	10	51	3	5	8	11	10	68	10	3	27	17	13	6	4	35	7	10	16	15	6	16	32	11	13	14	10	7	5	0	42	21	14	30	16	10	22	10	12	4	7	23	18	8	15	6	18	19	14	15	14	11	20	15	15	21	11	16	5	6	5	14	12	0	0	13	15	11	11	11	27	15	10	12	8	20	11	12	6	60	5	4	10	26	8	15	23	10	15	19	8	4	23	7	10	5	6	16	41	22	18	14	10	6	11	5	26	27	12	14	22	14	0	22	12	0	4	12	21	25	21	12	44	29	22	9	8	12	27	12	14	0	16	12	29	5	12	10	0	12	18	9	5	20	15	5	10	9	12	10	5	9	7	2	82	14	12	17	8	19	15	15	12	36	14	15	4	22	22	12	7	9	12	18	0	13	20	3	8	8	4	7	9	17	21	18	13	16	56	12	17	22	18	35	23	10	17
